Gerät,Patch Date,Patch Level Status: Compliant (Last 2 Months)
ATSE-VDI-EPL06,August 2025,true
ATSE-LT-CO24,September 2025,true
ATSE-VDI-EPL09,September 2025,true
ATSE-VDI-NC02,September 2025,true
ATSE-VDI-EPL01,September 2025,true
ATSE-VDI-EPL13,September 2025,true
ATSE-VDI-EPL05,September 2025,true
ATSE-VDI-NC05,September 2025,true
ATSE-VDI-NC01,September 2025,true
ATSE-VDI-EPL04,August 2025,true
ATSE-VDI-EPL08,August 2025,true
ATSE-VDI-EPL10,August 2025,true
ATSE-VDI-EPL03,September 2025,true
ATSE-VDI-EPL16,September 2025,true
ATSE-VDI-EPL11,September 2025,true
ATSE-VDI-EPL14,August 2025,true
CNSH-LT-SER07,September 2025,true
ATSE-CL-BDE0548,September 2025,true
ATSE-CL-BDE0549,September 2025,true
ATSE-CL-BDE0550,September 2025,true
ATSE-CL-BDE0551,September 2025,true
ATSE-LT-PM01,September 2025,true
ATSE-LT-CAD040,September 2025,true
ATSE-LT-ETECH63,September 2025,true
ATSE-LT-BH14,September 2025,true
CNSH2-LT-SPA02,September 2025,true
DEKA-LT-MONT19,September 2025,true
ATSE-LT-EDV70,September 2025,true
ATSE-LT-SV44,September 2025,true
ATSE-LT-BH16,September 2025,true
ATSE-LT-CAD018,September 2025,true
ATSE-LT-BDE0195,August 2025,true
ATSE-LT-PDTM09,September 2025,true
ATSE-CL-BDE0552,September 2025,true
ATSE-CL-BDE0554,September 2025,true
ATSE-CL-BDE0553,September 2025,true
ATSE-CL-BDE0557,September 2025,true
ATSE-CL-BDE0558,September 2025,true
ATSE-CL-BDE0560,September 2025,true
ATSE-CL-BDE0561,September 2025,true
ATSE-CL-BDE0562,September 2025,true
ATSE-LT-CAD126,August 2025,true
ATSE-CL-DNC4154,September 2025,true
ATSE-CL-DNC3630,September 2025,true
ATSE-LT-EDV30,September 2025,true
ATSE-CL-DNC3623,September 2025,true
ATSE-CL-DNC3626,September 2025,true
ATSE-LT-CAD017,September 2025,true
ATSE-CL-DNC52,September 2025,true
ATSE-CL-DNC3625,September 2025,true
ATSE-CL-DNC3620,September 2025,true
ATSE-CL-MAG03,August 2025,true
ATSE-LT-CAD051,September 2025,true
ATSE-CL-DNC3605,September 2025,true
ATSE-LT-DOKU10,August 2025,true
ATSE-LT-EDV03,August 2025,true
ATSE-LT-TD02,September 2025,true
ATSE-LT-EK02,September 2025,true
ATSE-LT-DEV12,September 2025,true
ATSE-LICAD03,September 2025,true
AUTOPI-BOHJ2Z6S,August 2025,true
ATSE-LT-DOKU04,September 2025,true
ATSE-LT-VK44,August 2025,true
ATSE-CL-BDE0506,September 2025,true
ATSE-CL-BDE0520,September 2025,true
HUOR-LT-ACC08,September 2025,true
ESCO-LT-MONT03,September 2025,true
HUOR-LT-QM02,September 2025,true
DEKA-LT-MONT21,August 2025,true
DEKA-LT-BH01,August 2025,true
ATSE-LT-EDV09,September 2025,true
LIVI-LT-ACC02,September 2025,true
ATSE-LT-EDV08,September 2025,true
AEDU2-LT-SERV62,September 2025,true
ATSE-LT-VK02,August 2025,true
ATSE-LT-MONT004,September 2025,true
ATSE-LT-DEV07,September 2025,true
ATSE-LT-DEV13,September 2025,true
ATSE-LT-FF17,September 2025,true
ATSE-LT-EDV28,September 2025,true
